	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
GENE_1270	470.0	670.0	1260.0	250.0	240.0	510.0
GENE_1271	240.0	600.0	540.0	86.39253808219624	380.0	970.0
GENE_1272	530.0	470.0	510.0	210.0	478.4558612802654	660.0
GENE_1273	260.0	370.0	560.0	880.0	69.7549393854553	440.0
GENE_1274	490.0	530.0	410.0	3743.226827511907	860.0	220.0
GENE_1275	190.0	540.0	370.0	770.0	620.0	310.0
GENE_1276	420.0	350.0	140.0	950.0	770.0	410.0
GENE_1277	380.0	360.0	740.0	640.0	670.0	640.0
GENE_1278	510.0	270.0	400.0	520.0	360.0	490.0
GENE_1279	550.0	1010.0	150.0	540.0	570.0	250.0
GENE_1280	360.0	670.0	290.0	430.0	240.0	390.0
GENE_1281	770.0	260.0	710.0	154.19997571588135	440.0	719.2591248881972
GENE_1282	410.0	460.0	750.0	590.0	360.0	530.0
GENE_1283	360.0	810.0	410.0	970.0	400.0	380.0
GENE_1284	420.0	380.0	1050.0	510.0	540.0	510.0
GENE_1285	570.0	240.0	530.0	500.0	810.0	390.0
GENE_1286	320.0	360.0	940.0	380.0	60.0	490.0
GENE_1287	330.0	390.0	830.0	80.0	102.39428894243288	202.68594512497182
GENE_1288	160.0	540.0	340.0	340.0	650.0	480.0
GENE_1289	530.0	400.0	510.0	330.0	960.0	820.0
GENE_1290	530.0	480.0	370.0	680.0	400.0	530.0
GENE_1291	240.0	720.0	570.0	656.9119456811019	550.0	410.0
GENE_1292	350.0	700.0	610.0	710.0	830.0	260.0
GENE_1293	400.0	340.0	380.0	500.0	880.0	1070.0
GENE_1294	450.0	630.0	250.0	190.0	330.0	1220.9553369687094
GENE_1295	900.0	590.0	340.0	800.0	380.0	370.0
GENE_1296	330.0	1030.0	600.0	795.5018329254173	400.0	640.0
GENE_1297	360.0	490.0	330.0	380.0	310.0	370.0
GENE_1298	290.0	510.0	540.0	550.0	1206.4555209885918	250.0
GENE_1299	600.0	710.0	190.0	810.0	350.0	250.0
GENE_1300	320.0	250.0	230.0	650.0	740.0	370.0
GENE_1301	470.0	110.0	310.0	430.0	760.9803938581338	470.0
GENE_1302	330.0	510.0	600.0	630.0	1131.9609262021024	270.0
GENE_1303	380.0	490.0	250.0	460.0	70.0	540.0
GENE_1304	680.0	250.0	310.0	520.0	460.0	680.0
GENE_1305	120.0	530.0	480.0	240.0	190.0	1103.6512153839262
GENE_1306	750.0	290.0	590.0	320.0	670.0	270.0
GENE_1307	640.0	370.0	300.0	700.0	440.0	150.0
GENE_1308	580.0	350.0	760.0	410.0	670.0	811.0069988221775
GENE_1309	470.0	560.0	840.0	670.0	770.0	1397.889763687834
GENE_1310	250.0	540.0	210.0	110.0	510.0	350.0
GENE_1311	150.0	200.0	120.0	190.0	1223.9451265451814	127.23153259917548
GENE_1312	320.0	520.0	360.0	1134.511478846707	900.0	630.0
GENE_1313	540.0	340.0	540.0	490.0	440.0	590.0
GENE_1314	330.0	510.0	210.0	220.0	270.0	220.0
GENE_1315	470.0	570.0	450.0	520.0	226.2629607226825	580.0
GENE_1316	370.0	370.0	390.0	2254.406694928682	340.0	1529.1963616154267
GENE_1317	160.0	180.0	440.0	490.0	500.0	78.46883910650288
GENE_1318	520.0	180.0	400.0	190.0	270.0	380.0
GENE_1319	470.0	370.0	490.0	673.5718605602045	180.0	410.0
GENE_1320	310.0	560.0	710.0	400.0	230.0	720.0
GENE_1321	280.0	510.0	440.0	780.0	210.0	860.0
GENE_1322	420.0	300.0	380.0	250.0	810.0	600.0
GENE_1323	270.0	170.0	700.0	520.0	410.0	210.0
GENE_1324	120.0	690.0	240.0	560.0	200.0	560.0
GENE_1325	760.0	420.0	160.0	350.0	230.0	270.0
GENE_1326	740.0	240.0	590.0	120.93922704490667	430.0	580.0
GENE_1327	380.0	330.0	510.0	380.0	210.0	440.0
GENE_1328	560.0	110.0	980.0	310.0	410.0	470.0
GENE_1329	420.0	600.0	170.0	630.0	160.0	650.0
GENE_1330	400.0	460.0	850.0	568.7092185952713	180.0	350.0
GENE_1331	590.0	260.0	280.0	340.0	430.0	612.1289332326199
GENE_1332	300.0	480.0	560.0	280.0	230.0	330.0
GENE_1333	810.0	320.0	520.0	233.89881717001626	910.0	640.0
GENE_1334	890.0	510.0	210.0	490.0	580.0	160.0
GENE_1335	490.0	370.0	260.0	1220.0	360.0	310.0
GENE_1336	440.0	220.0	550.0	266.77742653260947	1350.0	580.0
GENE_1337	340.0	410.0	690.0	370.0	510.0	230.0
GENE_1338	430.0	950.0	490.0	1680.4002389525378	480.0	360.0
GENE_1339	780.0	290.0	620.0	380.0	140.0	560.0
GENE_1340	280.0	390.0	480.0	149.5992227721339	370.0	923.9311548350516
GENE_1341	180.0	390.0	280.0	180.0	750.0	580.0
GENE_1342	540.0	250.0	470.0	190.0	470.0	390.0
GENE_1343	470.0	520.0	320.0	190.0	310.0	360.0
GENE_1344	290.0	540.0	440.0	2457.018844771521	1448.60177368935	290.0
GENE_1345	470.0	490.0	370.0	1929.9908341468663	196.73574962997856	310.0
GENE_1346	450.0	410.0	520.0	410.0	390.0	960.0
GENE_1347	300.0	190.0	330.0	350.0	440.0	510.0
GENE_1348	460.0	390.0	360.0	180.0	190.0	620.0
GENE_1349	680.0	710.0	140.0	110.0	520.0	610.0
GENE_1350	320.0	380.0	620.0	350.0	600.0	120.27850175291732
GENE_1351	400.0	410.0	650.0	260.0	180.0	480.0
GENE_1352	330.0	640.0	220.0	360.0	420.0	300.0
GENE_1353	200.0	800.0	480.0	1431.9121195337323	850.0	410.0
GENE_1354	360.0	350.0	570.0	930.0	430.0	520.0
GENE_1355	550.0	360.0	820.0	560.0	460.0	510.0
GENE_1356	200.0	580.0	550.0	470.0	470.0	930.0
GENE_1357	330.0	380.0	800.0	750.0	120.0	2369.9678765566428
GENE_1358	300.0	430.0	260.0	490.0	700.0	630.0
GENE_1359	180.0	430.0	210.0	360.0	793.7321295374533	330.0
GENE_1360	730.0	290.0	300.0	240.0	250.0	710.0
GENE_1361	970.0	490.0	750.0	220.0	430.0	620.0
GENE_1362	280.0	360.0	120.0	420.0	330.0	150.0
GENE_1363	350.0	520.0	370.0	270.0	220.0	630.0
GENE_1364	290.0	420.0	320.0	1821.121840484577	230.0	310.0
GENE_1365	350.0	170.0	230.0	790.0	720.0	810.0
GENE_1366	560.0	330.0	270.0	1495.7645582229663	470.0	240.0
GENE_1367	360.0	360.0	550.0	450.0	687.5190588292471	220.0
GENE_1368	430.0	250.0	440.0	670.0	610.0	852.4055979238307
GENE_1369	590.0	470.0	130.0	260.0	360.0	620.0
GENE_1370	540.0	220.0	420.0	420.0	186.09464800195653	280.0
GENE_1371	380.0	240.0	640.0	172.45193501635632	290.0	188.93159938980654
GENE_1372	310.0	160.0	390.0	670.0	1010.0	160.0
GENE_1373	170.0	500.0	670.0	440.0	1260.0	173.21192188384157
GENE_1374	630.0	500.0	520.0	160.0	142.7800192064372	380.0
GENE_1375	640.0	500.0	250.0	330.0	280.0	380.0
GENE_1376	480.0	640.0	610.0	720.0	550.0	420.0
GENE_1377	280.0	550.0	310.0	440.0	390.0	131.1136737952722
GENE_1378	350.0	220.0	430.0	650.0	250.0	2720.6173373402016
GENE_1379	600.0	790.0	540.0	420.0	530.0	90.0
GENE_1380	340.0	280.0	260.0	240.0	760.0	320.0
GENE_1381	590.0	350.0	390.0	1592.2161881993634	922.5262920881107	700.0
GENE_1382	360.0	900.0	750.0	142.0318871168944	470.0	270.0
GENE_1383	280.0	440.0	380.0	520.0	710.0	410.0
GENE_1384	230.0	470.0	580.0	530.0	370.0	790.0
GENE_1385	780.0	400.0	200.0	340.0	330.0	623.9227161824638
GENE_1386	720.0	670.0	580.0	640.0	720.0	350.0
GENE_1387	320.0	310.0	450.0	470.0	240.0	590.0
GENE_1388	490.0	790.0	1060.0	200.0	1363.2615199287195	300.0
GENE_1389	610.0	580.0	350.0	440.0	660.0	440.0
GENE_1390	460.0	270.0	360.0	200.0	330.0	460.0
GENE_1391	360.0	290.0	420.0	390.0	470.0	600.0
GENE_1392	310.0	620.0	600.0	820.0	600.0	450.0
GENE_1393	200.0	140.0	200.0	450.0	410.0	380.0
GENE_1394	170.0	230.0	260.0	600.0	220.0	240.0
GENE_1395	720.0	450.0	200.0	900.0	120.0	270.0
GENE_1396	520.0	250.0	630.0	430.0	260.0	1435.120843681074
GENE_1397	390.0	850.0	570.0	60.0	1000.0	160.0
GENE_1398	330.0	320.0	720.0	620.0	760.0	230.0
GENE_1399	110.0	270.0	680.0	640.0	200.0	370.0
GENE_1400	520.0	180.0	710.0	610.0	350.0	670.0
GENE_1401	260.0	390.0	850.0	480.0	390.0	300.0
GENE_1402	1170.0	310.0	820.0	220.0	500.0	853.1979889780224
GENE_1403	490.0	280.0	280.0	670.0	720.0	270.0
GENE_1404	370.0	310.0	600.0	910.0	760.0	510.0
GENE_1405	900.0	420.0	470.0	190.0	640.0	440.0
GENE_1406	300.0	330.0	230.0	870.0	410.0	340.0
GENE_1407	560.0	440.0	560.0	340.0	330.0	301.2257197235449
GENE_1408	520.0	610.0	340.0	380.0	340.0	1070.615373245291
GENE_1409	200.0	380.0	580.0	510.0	992.4343387313418	540.0
GENE_1410	280.0	290.0	130.0	320.0	166.1725974534061	974.4841007633239
GENE_1411	370.0	400.0	460.0	216.4129306439749	330.0	370.0
GENE_1412	500.0	730.0	460.0	650.0	250.0	1363.186362424409
GENE_1413	570.0	380.0	240.0	210.0	550.0	490.0
GENE_1414	640.0	310.0	470.0	200.0	950.0	1020.0
GENE_1415	200.0	380.0	70.0	750.0	470.0	170.0
GENE_1416	510.0	580.0	120.0	360.0	210.0	480.0
GENE_1417	690.0	480.0	280.0	460.0	870.0	320.0
GENE_1418	290.0	290.0	210.0	990.0	132.74478628713564	330.0
GENE_1419	760.0	520.0	480.0	330.0	440.0	410.0
GENE_1420	680.0	300.0	430.0	390.0	158.8148677198896	410.0
GENE_1421	250.0	450.0	680.0	390.0	450.0	230.0
GENE_1422	730.0	470.0	640.0	310.0	1566.0070454240577	530.0
GENE_1423	200.0	210.0	340.0	610.0	250.0	600.0
GENE_1424	500.0	260.0	180.0	1461.1090618817036	240.0	760.0
GENE_1425	760.0	630.0	350.0	1300.0	430.0	270.0
GENE_1426	490.0	1020.0	390.0	540.0	200.0	660.0
GENE_1427	240.0	400.0	380.0	1072.6530862798418	380.0	820.0
GENE_1428	200.0	360.0	510.0	150.0	250.0	370.0
GENE_1429	480.0	490.0	160.0	590.0	650.0	490.0
GENE_1430	450.0	790.0	580.0	200.0	260.0	320.0
GENE_1431	440.0	510.0	560.0	618.1375732448851	538.0235543858922	1251.768306048783
GENE_1432	420.0	250.0	200.0	613.5332999336498	410.0	490.0
GENE_1433	130.0	640.0	490.0	150.0	470.0	875.3283319563377
GENE_1434	600.0	580.0	300.0	247.12230065720811	800.0	260.0
GENE_1435	580.0	190.0	320.0	1030.0	510.0	210.0
GENE_1436	450.0	310.0	570.0	530.0	350.0	240.0
GENE_1437	190.0	270.0	680.0	370.0	440.0	640.0
GENE_1438	360.0	1030.0	260.0	830.0	240.0	190.0
GENE_1439	520.0	450.0	260.0	460.0	340.0	550.0
GENE_1440	430.0	270.0	800.0	120.0	135.32845109961147	750.0
GENE_1441	350.0	180.0	1490.0	630.0	400.0	740.0
GENE_1442	820.0	470.0	290.0	290.0	420.0	90.0
GENE_1443	450.0	270.0	450.0	220.0	450.0	350.0
GENE_1444	360.0	510.0	550.0	610.0	740.0	130.0
GENE_1445	570.0	420.0	460.0	1758.3490903753247	340.0	380.0
GENE_1446	320.0	140.0	320.0	820.0	730.0	470.0
GENE_1447	320.0	560.0	270.0	320.0	123.13894451649666	270.0
GENE_1448	430.0	290.0	560.0	120.0	330.0	360.0
GENE_1449	1160.0	310.0	980.0	748.3820038978497	400.0	370.0
GENE_1450	210.0	580.0	240.0	450.0	470.0	270.0
GENE_1451	690.0	370.0	470.0	280.0	160.0	750.0
GENE_1452	340.0	350.0	830.0	550.0	410.0	180.0
GENE_1453	480.0	300.0	900.0	260.0	340.0	946.1070052535055
GENE_1454	200.0	550.0	60.0	390.0	680.0	330.0
GENE_1455	250.0	230.0	370.0	200.0	410.0	300.0
GENE_1456	310.0	400.0	420.0	460.0	830.0	570.0
GENE_1457	500.0	440.0	550.0	710.0	860.0	800.0
GENE_1458	410.0	230.0	340.0	240.0	410.0	520.0
GENE_1459	450.0	520.0	370.0	270.0	360.0	390.0
GENE_1460	100.0	260.0	250.0	510.0	910.0	610.0
GENE_1461	170.0	120.0	220.0	180.0	300.0	490.0
GENE_1462	590.0	750.0	560.0	450.0	630.0	320.0
GENE_1463	280.0	240.0	460.0	500.0	500.0	1320.5142196949146
GENE_1464	250.0	260.0	310.0	220.0	135.20297572151097	390.0
GENE_1465	910.0	550.0	450.0	410.0	460.0	300.0
GENE_1466	720.0	1050.0	500.0	180.0	280.0	590.0
GENE_1467	530.0	190.0	320.0	500.0	700.0	390.0
GENE_1468	320.0	640.0	300.0	730.0	550.0	700.0
GENE_1469	680.0	560.0	180.0	400.0	130.0	150.0
GENE_1470	360.0	450.0	390.0	400.0	360.0	560.0
GENE_1471	560.0	500.0	360.0	1290.0	540.0	340.0
GENE_1472	340.0	680.0	590.0	140.69240251421445	820.0	220.0
GENE_1473	700.0	190.0	190.0	280.0	1200.0	210.0
GENE_1474	690.0	180.0	270.0	710.0	220.0	400.0
GENE_1475	670.0	360.0	360.0	390.57557578753875	750.0	440.0
GENE_1476	210.0	310.0	720.0	540.0	420.0	460.0
GENE_1477	880.0	490.0	590.0	380.0	470.0	400.0
GENE_1478	350.0	370.0	220.0	480.0	362.5376188789434	640.0
GENE_1479	470.0	310.0	340.0	590.0	300.0	160.0
GENE_1480	420.0	310.0	230.0	400.0	300.0	560.0
GENE_1481	830.0	240.0	170.0	270.0	480.0	1054.8893956334255
GENE_1482	530.0	200.0	180.0	280.0	390.0	670.0
GENE_1483	310.0	830.0	390.0	580.0	240.0	370.0
GENE_1484	630.0	390.0	220.0	300.0	1312.295603971054	250.0
GENE_1485	310.0	640.0	320.0	510.0	440.0	105.15623810309658
GENE_1486	470.0	320.0	260.0	840.0	760.0	1090.0
GENE_1487	510.0	470.0	450.0	320.0	190.0	610.0
GENE_1488	710.0	480.0	490.0	170.0	1046.1265301278954	790.0
GENE_1489	550.0	770.0	320.0	670.0	630.0	550.0
GENE_1490	170.0	690.0	390.0	290.0	440.0	580.0
GENE_1491	710.0	540.0	340.0	380.0	660.0	540.0
GENE_1492	530.0	250.0	250.0	600.0	320.0	230.0
GENE_1493	810.0	550.0	330.0	350.0	210.0	374.4961129641262
GENE_1494	420.0	560.0	320.0	450.0	430.0	800.0
GENE_1495	270.0	1070.0	350.0	170.0	510.0	490.0
GENE_1496	470.0	490.0	360.0	400.0	330.0	300.0
GENE_1497	430.0	560.0	450.0	640.0	400.828259677667	460.0
GENE_1498	320.0	560.0	180.0	1020.0	40.0	290.0
GENE_1499	380.0	750.0	550.0	410.0	180.0	1166.0227823069392
GENE_1500	820.0	350.0	530.0	800.0	710.0	340.0
GENE_1501	440.0	690.0	550.0	300.0	560.0	630.0
GENE_1502	350.0	270.0	600.0	950.0	530.0	560.0
GENE_1503	260.0	770.0	420.0	330.0	310.0	470.0
GENE_1504	700.0	490.0	480.0	460.0	400.0	900.0
GENE_1505	500.0	450.0	430.0	640.0	750.0	280.0
GENE_1506	210.0	210.0	640.0	380.0	300.0	570.0
GENE_1507	420.0	450.0	580.0	190.0	260.0	280.0
GENE_1508	210.0	240.0	380.0	600.0	320.0	610.0
GENE_1509	440.0	1260.0	220.0	410.0	760.0	801.3139728404986
GENE_1510	500.0	240.0	360.0	300.0	480.0	405.393080239602
GENE_1511	970.0	270.0	420.0	840.4835566196973	580.0	160.0
GENE_1512	730.0	390.0	270.0	410.0	710.0	280.0
GENE_1513	420.0	210.0	1080.0	360.0	350.0	180.0
GENE_1514	260.0	800.0	370.0	270.0	240.0	450.0
GENE_1515	400.0	460.0	300.0	210.0	360.0	290.0
GENE_1516	710.0	280.0	540.0	390.0	440.0	140.0
GENE_1517	770.0	340.0	400.0	640.0	480.0	1302.5855655253886
GENE_1518	580.0	540.0	350.0	640.0	270.0	87.22226183223073
GENE_1519	270.0	310.0	700.0	290.0	770.0	610.0
GENE_1520	680.0	760.0	220.0	700.0	130.0	530.0
GENE_1521	190.0	430.0	250.0	510.0	500.0	870.0
GENE_1522	440.0	310.0	430.0	236.5003102358128	300.0	370.0
GENE_1523	810.0	560.0	500.0	2049.1444594726463	510.0	290.0
GENE_1524	50.0	200.0	180.0	246.08240251304568	180.0	310.0
GENE_1525	300.0	560.0	590.0	310.0	200.0	530.0
GENE_1526	230.0	780.0	370.0	560.0	190.0	1060.0
GENE_1527	240.0	470.0	610.0	750.0	510.0	590.0
GENE_1528	370.0	240.0	650.0	630.0	480.0	800.0
GENE_1529	650.0	260.0	1000.0	220.0	830.0	530.0
GENE_1530	350.0	310.0	310.0	1330.0	1930.9344487749274	171.96400078807122
GENE_1531	290.0	600.0	180.0	530.0	440.0	750.0
GENE_1532	490.0	490.0	290.0	350.0	830.0	510.0
GENE_1533	600.0	1370.0	680.0	700.0	75.18015527753992	510.0
GENE_1534	450.0	370.0	620.0	370.0	270.0	420.0
GENE_1535	460.0	340.0	540.0	300.0	480.0	830.0
GENE_1536	470.0	570.0	490.0	230.0	610.0	230.0
GENE_1537	610.0	620.0	410.0	350.0	480.0	230.0
GENE_1538	230.0	320.0	450.0	120.0	500.0	370.0
GENE_1539	230.0	270.0	240.0	170.0	480.0	310.0
GENE_1540	310.0	590.0	660.0	2125.6263762281487	460.0	683.3725971461961
GENE_1541	480.0	180.0	500.0	280.0	420.0	250.0
GENE_1542	380.0	600.0	1040.0	220.0	90.0	690.0
GENE_1543	1430.0	440.0	360.0	340.0	660.0	610.0
GENE_1544	470.0	300.0	420.0	510.0	350.0	180.0
GENE_1545	70.0	210.0	280.0	310.0	833.5612261098264	330.0
GENE_1546	470.0	350.0	110.0	1404.240259091764	880.0	550.0
GENE_1547	590.0	680.0	590.0	905.3385308078415	100.0	200.0
GENE_1548	330.0	570.0	590.0	610.0	1157.7082087196611	220.0
GENE_1549	100.0	250.0	460.0	270.0	1023.1760776454737	350.0
GENE_1550	1330.0	510.0	270.0	863.4873422876648	1296.8702478244932	470.0
GENE_1551	290.0	260.0	300.0	290.0	130.0	550.0
GENE_1552	440.0	280.0	570.0	550.0	970.0	370.0
GENE_1553	770.0	410.0	190.0	380.0	1523.0189337557692	190.0
GENE_1554	220.0	450.0	350.0	620.0	738.7665489821728	849.203443154446
GENE_1555	330.0	570.0	400.0	180.0	123.39245916162153	270.0
GENE_1556	170.0	540.0	150.0	310.0	220.0	760.0
GENE_1557	510.0	410.0	460.0	680.0	171.06011015088947	420.0
GENE_1558	540.0	390.0	580.0	260.0	690.0	220.0
GENE_1559	240.0	730.0	420.0	610.0	1373.87111974178	350.0
GENE_1560	510.0	210.0	250.0	1160.0	540.0	816.9740696400471
GENE_1561	450.0	340.0	390.0	720.0	300.0	240.0
GENE_1562	290.0	310.0	340.0	430.0	440.0	470.0
GENE_1563	270.0	660.0	440.0	520.0	330.0	250.1970292254187
GENE_1564	370.0	600.0	440.0	520.0	380.0	370.0
GENE_1565	350.0	880.0	280.0	480.0	480.0	271.3893843499455
GENE_1566	540.0	260.0	300.0	320.0	500.0	560.0
GENE_1567	480.0	310.0	480.0	350.0	320.0	2108.1862676046876
GENE_1568	230.0	380.0	400.0	2353.7605309431615	1070.0	270.0
GENE_1569	370.0	480.0	690.0	260.0	1306.7872920831069	540.0
GENE_1570	780.0	290.0	180.0	270.0	510.0	630.0
GENE_1571	260.0	440.0	1290.0	450.0	450.0	520.0
GENE_1572	750.0	80.0	580.0	350.0	520.0	731.9341380085664
GENE_1573	170.0	580.0	300.0	320.0	190.0	730.0
GENE_1574	750.0	420.0	400.0	200.0	440.0	460.0
GENE_1575	310.0	520.0	330.0	250.0	520.0	247.1355243120734
GENE_1576	290.0	460.0	450.0	460.0	450.0	540.0
GENE_1577	550.0	450.0	90.0	690.0	670.0	340.0
GENE_1578	850.0	640.0	290.0	340.0	410.0	470.0
GENE_1579	460.0	770.0	520.0	420.0	280.0	320.0
GENE_1580	500.0	780.0	580.0	440.0	660.0	708.0808269866905
GENE_1581	150.0	220.0	260.0	60.0	370.0	320.0
GENE_1582	780.0	380.0	320.0	183.88266935130983	190.0	520.0
GENE_1583	810.0	640.0	280.0	702.9499891146171	360.0	510.0
GENE_1584	1100.0	310.0	360.0	350.0	290.0	270.0
GENE_1585	330.0	290.0	500.0	527.3328148801107	410.0	175.79993207165086
GENE_1586	100.0	280.0	550.0	220.0	120.53626361949524	390.0
GENE_1587	340.0	490.0	710.0	450.0	440.0	570.0
GENE_1588	600.0	520.0	220.0	390.0	187.5118779131507	400.0
GENE_1589	430.0	450.0	370.0	400.0	226.15234311992575	470.0
GENE_1590	460.0	600.0	300.0	500.0	680.0	330.0
GENE_1591	410.0	700.0	370.0	360.0	500.0	260.0
GENE_1592	490.0	450.0	420.0	190.0	660.0	490.0
GENE_1593	120.0	470.0	270.0	500.0	260.0	470.0
GENE_1594	150.0	740.0	270.0	480.0	260.0	160.0
GENE_1595	680.0	350.0	560.0	190.0	162.22676695174513	660.0
GENE_1596	300.0	560.0	970.0	610.0	240.0	250.0
GENE_1597	600.0	290.0	380.0	480.0	320.0	160.0
GENE_1598	280.0	370.0	300.0	920.0	390.0	500.0
GENE_1599	630.0	370.0	820.0	3209.8490183889035	480.0	577.406623772235
GENE_1600	490.0	550.0	270.0	370.0	240.0	310.0
GENE_1601	140.0	760.0	620.0	400.0	240.0	550.0
GENE_1602	650.0	170.0	380.0	530.0	90.0	890.0
GENE_1603	430.0	490.0	550.0	700.0	310.0	380.0
GENE_1604	450.0	700.0	440.0	750.0	480.0	380.0
GENE_1605	530.0	380.0	540.0	679.3685150876548	480.0	400.0
GENE_1606	650.0	340.0	660.0	260.0	390.0	450.0
GENE_1607	270.0	450.0	740.0	250.0	550.0	770.0
GENE_1608	330.0	590.0	210.0	550.0	450.0	390.0
GENE_1609	450.0	450.0	780.0	450.0	350.0	770.0
GENE_1610	190.0	200.0	190.0	490.0	580.0	260.0
GENE_1611	260.0	750.0	520.0	310.0	520.0	360.0
GENE_1612	670.0	530.0	120.0	410.0	1000.0	300.0
GENE_1613	210.0	310.0	380.0	410.0	370.0	420.0
GENE_1614	980.0	420.0	300.0	420.0	1108.7606078822234	560.0
GENE_1615	460.0	650.0	970.0	900.0	550.0	860.6980855031838
GENE_1616	380.0	890.0	360.0	500.0	700.0	280.0
GENE_1617	430.0	670.0	470.0	440.0	580.0	170.0
GENE_1618	200.0	570.0	210.0	850.0	310.0	590.0
GENE_1619	310.0	460.0	550.0	760.0	740.0	450.0
GENE_1620	640.0	700.0	460.0	450.0	520.0	800.0
GENE_1621	670.0	280.0	410.0	560.0	760.0	678.2860834282238
GENE_1622	190.0	570.0	510.0	580.0	310.0	370.0
GENE_1623	350.0	590.0	660.0	360.0	920.0	870.0
GENE_1624	1470.0	460.0	600.0	239.6753275723685	380.0	340.0
GENE_1625	690.0	540.0	340.0	350.0	300.0	630.0
GENE_1626	400.0	190.0	760.0	650.0	136.7651696525009	280.0
GENE_1627	1020.0	490.0	490.0	98.20849620756289	410.0	470.0
GENE_1628	580.0	300.0	410.0	830.0	510.0	250.0
GENE_1629	170.0	60.0	710.0	1846.670055098038	340.0	440.0
GENE_1630	250.0	850.0	530.0	320.0	1817.004911273699	91.28304004602545
GENE_1631	670.0	480.0	200.0	500.0	600.0	340.0
GENE_1632	600.0	320.0	340.0	510.0	210.0	380.0
GENE_1633	510.0	460.0	320.0	300.0	530.0	820.0
GENE_1634	400.0	830.0	180.0	320.0	330.0	610.0
GENE_1635	190.0	150.0	140.0	470.0	380.0	490.0
GENE_1636	250.0	490.0	340.0	220.0	430.0	1070.0
GENE_1637	460.0	470.0	920.0	470.0	748.5712800758658	550.0
GENE_1638	570.0	490.0	340.0	190.0	300.0	310.0
GENE_1639	220.0	660.0	680.0	410.0	290.0	160.0
GENE_1640	520.0	510.0	120.0	1062.9880099976847	580.0	620.0
GENE_1641	260.0	150.0	300.0	1101.388631682898	410.0	650.0
GENE_1642	660.0	500.0	700.0	460.0	530.0	580.0
GENE_1643	780.0	410.0	370.0	340.0	260.0	400.0
GENE_1644	280.0	120.0	340.0	380.0	209.00162545251263	100.54119393969859
GENE_1645	300.0	1060.0	570.0	420.0	232.8328338462488	390.0
GENE_1646	530.0	670.0	250.0	760.0	400.0	410.0
GENE_1647	580.0	470.0	280.0	320.0	360.0	820.0
GENE_1648	800.0	380.0	500.0	220.78483075988424	300.0	570.0
GENE_1649	130.0	900.0	400.0	440.0	733.3929600007498	290.0
GENE_1650	420.0	410.0	320.0	1233.0627442363623	370.0	370.0
GENE_1651	450.0	410.0	580.0	610.0	820.0	380.0
GENE_1652	420.0	500.0	300.0	740.0	230.0	230.0
GENE_1653	600.0	690.0	130.0	470.0	220.0	918.1397361129551
GENE_1654	290.0	690.0	450.0	700.0	530.0	350.0
GENE_1655	430.0	560.0	770.0	190.0	680.0	1082.6489638089697
GENE_1656	930.0	650.0	170.0	1080.0	640.0	660.0
GENE_1657	470.0	310.0	300.0	820.0	265.2992185614675	320.0
GENE_1658	500.0	430.0	320.0	110.0	1030.0	530.0
GENE_1659	640.0	280.0	590.0	220.0	112.35745026833533	840.0
GENE_1660	290.0	380.0	630.0	600.0	340.0	380.0
GENE_1661	530.0	200.0	400.0	1045.5538395989913	79.29946957911373	440.0
GENE_1662	400.0	500.0	500.0	140.0	390.0	370.0
GENE_1663	260.0	310.0	720.0	260.0	230.0	490.0
GENE_1664	340.0	90.0	520.0	591.6869475701683	970.0	580.0
GENE_1665	350.0	700.0	380.0	667.4648516552256	431.3758849138839	300.0
GENE_1666	320.0	280.0	340.0	330.0	230.0	270.0
GENE_1667	260.0	720.0	640.0	620.0	270.0	350.0
GENE_1668	700.0	550.0	300.0	120.0	650.0	410.0
GENE_1669	430.0	380.0	170.0	370.0	207.15944514165332	250.0
GENE_1670	680.0	170.0	270.0	270.0	150.74671644932178	280.0
GENE_1671	390.0	70.0	310.0	710.0	280.56682659348894	1257.1531967664298
GENE_1672	260.0	540.0	190.0	450.0	400.0	250.0
GENE_1673	340.0	340.0	640.0	890.0	230.0	150.0
GENE_1674	590.0	430.0	550.0	697.9079837610784	80.0	340.0
GENE_1675	720.0	790.0	200.0	500.0	441.1747199949424	270.0
GENE_1676	360.0	400.0	210.0	490.0	380.0	680.0
GENE_1677	470.0	220.0	360.0	350.0	340.0	590.0
GENE_1678	1160.0	140.0	430.0	500.0	310.0	230.0
GENE_1679	590.0	370.0	380.0	180.0	430.0	120.87793237248081
GENE_1680	260.0	560.0	320.0	150.0	640.0	460.0
GENE_1681	290.0	1010.0	250.0	540.0	400.0	320.0
GENE_1682	350.0	290.0	470.0	200.0	929.6608737922118	250.0
GENE_1683	530.0	500.0	410.0	340.0	210.0	370.0
GENE_1684	650.0	400.0	440.0	209.06339464746125	1808.1564936902193	60.0
GENE_1685	390.0	350.0	330.0	510.0	1206.5880744472843	550.0
GENE_1686	480.0	720.0	530.0	440.0	290.0	490.0
GENE_1687	500.0	460.0	530.0	490.0	390.0	300.0
GENE_1688	760.0	130.0	380.0	610.0	370.0	460.0
GENE_1689	390.0	860.0	430.0	500.0	590.0	180.0
GENE_1690	230.0	530.0	430.0	230.0	638.6879986270562	450.0
GENE_1691	310.0	570.0	310.0	420.0	290.0	240.0
GENE_1692	770.0	380.0	460.0	510.0	368.2011810240022	120.0
GENE_1693	740.0	1070.0	420.0	580.0	500.0	350.0
